Index       TIME             V(VREF)     
290      8.00479341e-06    3.85869203e-01
291      8.00480455e-06    3.85815058e-01
292      8.00482683e-06    3.85706790e-01
293      8.00487139e-06    3.85490347e-01
294      8.00496052e-06    3.85057825e-01
295      8.00513877e-06    3.84194236e-01
296      8.00531702e-06    3.83332583e-01
297      8.00549528e-06    3.82472863e-01
298      8.00585178e-06    3.80759200e-01
299      8.00620829e-06    3.79053216e-01
300      8.00692130e-06    3.75664127e-01
301      8.00709955e-06    3.74822549e-01
302      8.00745606e-06    3.73143164e-01
303      8.00754518e-06    3.72724730e-01
304      8.00772344e-06    3.71888801e-01
305      8.00776800e-06    3.71680170e-01
306      8.00785712e-06    3.71309957e-01
307      8.00793734e-06    3.71134710e-01
308      8.00794619e-06    3.71125248e-01
309      8.00795504e-06    3.71114410e-01
310      8.00796389e-06    3.71101046e-01
311      8.00798159e-06    3.71069230e-01
312      8.00801699e-06    3.70997327e-01
313      8.00808780e-06    3.70854987e-01
314      8.00815860e-06    3.70724454e-01
315      8.00822940e-06    3.70601939e-01
316      8.00837101e-06    3.70376110e-01
317      8.00851262e-06    3.70173659e-01
318      8.00879583e-06    3.69821967e-01
319      8.00936226e-06    3.69268102e-01
320      8.01049511e-06    3.68509115e-01
321      8.01276082e-06    3.67684033e-01
322      8.01502652e-06    3.67334349e-01
323      8.01955793e-06    3.67105569e-01
324      8.02408935e-06    3.67081755e-01
325      8.03315217e-06    3.67078436e-01
326      8.04221500e-06    3.67079182e-01
327      8.06034065e-06    3.67078998e-01
328      8.09659195e-06    3.67079091e-01
329      8.16909456e-06    3.67079027e-01
330      8.26909456e-06    3.67079077e-01
331      8.36909456e-06    3.67079037e-01
332      8.46909456e-06    3.67079068e-01
333      8.50100000e-06    3.67079051e-01
334      8.50104088e-06    3.67079096e-01
335      8.50107517e-06    3.67079020e-01
336      8.50114377e-06    3.67079011e-01
337      8.50128095e-06    3.67079081e-01
338      8.50134954e-06    3.67079014e-01
339      8.50137371e-06    3.67078917e-01
340      8.50142203e-06    3.67078542e-01
341      8.50146780e-06    3.67078451e-01
342      8.50148741e-06    3.67077809e-01
343      8.50150702e-06    3.67076211e-01
344      8.50152662e-06    3.67073171e-01
345      8.50154623e-06    3.67070741e-01
346      8.50156584e-06    3.67070327e-01
347      8.50158545e-06    3.67073076e-01
348      8.50158765e-06    3.67073963e-01
349      8.50159205e-06    3.67076994e-01
350      8.50160085e-06    3.67097622e-01
351      8.50160837e-06    3.67139856e-01
352      8.50161514e-06    3.67199260e-01
353      8.50162107e-06    3.67257170e-01
354      8.50162582e-06    3.67294117e-01
355      8.50162637e-06    3.67297011e-01
356      8.50162692e-06    3.67299650e-01
357      8.50162802e-06    3.67303196e-01
358      8.50162912e-06    3.67304085e-01
359      8.50163022e-06    3.67302063e-01
360      8.50163048e-06    3.67301081e-01
361      8.50163099e-06    3.67298911e-01
362      8.50163150e-06    3.67296535e-01
363      8.50163202e-06    3.67294160e-01
364      8.50163253e-06    3.67291784e-01
365      8.50163356e-06    3.67287033e-01
366      8.50163561e-06    3.67277530e-01
367      8.50163972e-06    3.67258526e-01
368      8.50164794e-06    3.67220521e-01
369      8.50165615e-06    3.67182520e-01
370      8.50166437e-06    3.67144523e-01
371      8.50167258e-06    3.67106530e-01
372      8.50168080e-06    3.67068864e-01
373      8.50168222e-06    3.67063111e-01
374      8.50168365e-06    3.67057713e-01
375      8.50168508e-06    3.67053007e-01
376      8.50168793e-06    3.67045494e-01
377      8.50169363e-06    3.67036843e-01
378      8.50169933e-06    3.67034843e-01
379      8.50170503e-06    3.67037294e-01
380      8.50171643e-06    3.67048541e-01
381      8.50173924e-06    3.67074068e-01
382      8.50176204e-06    3.67090437e-01
383      8.50178484e-06    3.67098946e-01
384      8.50180765e-06    3.67102733e-01
385      8.50183045e-06    3.67098295e-01
386      8.50185326e-06    3.67094168e-01
387      8.50187378e-06    3.67093707e-01
388      8.50189225e-06    3.67090506e-01
389      8.50191072e-06    3.67086005e-01
390      8.50192920e-06    3.67082569e-01
391      8.50196614e-06    3.67081926e-01
392      8.50200000e-06    3.67085234e-01
393      8.50200369e-06    3.67084999e-01
394      8.50200669e-06    3.67084610e-01
395      8.50200969e-06    3.67084142e-01
396      8.50201569e-06    3.67082876e-01
397      8.50202768e-06    3.67079756e-01
398      8.50205166e-06    3.67074387e-01
399      8.50207564e-06    3.67072880e-01
400      8.50209963e-06    3.67075747e-01
401      8.50212361e-06    3.67080655e-01
402      8.50214759e-06    3.67084487e-01
403      8.50217158e-06    3.67086806e-01
404      8.50219556e-06    3.67087800e-01
405      8.50221954e-06    3.67087608e-01
406      8.50226751e-06    3.67088853e-01
